Method	s
0	0.333333333333
1	0.25
2	0.0
3	0.0
4	0.3
5	0.45
6	0.175
7	0.625
8	0.8
9	0.0
10	0.227272727273
11	0.0444444444444
12	0.5375
13	0.25
14	0.05
15	0.375
16	0.5
17	0.7
18	0.227272727273
19	0.4
20	0.175
21	0.333333333333
22	0.0
23	0.9
24	0.0
25	0.0666666666667
26	0.0
27	0.6
28	0.383333333333
29	0.0
30	0.9
31	0.7
32	0.95
33	0.7
34	0.9
35	0.0
36	0.0
37	0.625
38	0.227272727273
39	0.0
40	0.0666666666667
41	0.0
42	0.0666666666667
43	0.4
44	0.0
45	0.3
46	0.0
47	0.0
48	0.633333333333
49	0.0
50	0.0
51	0.0
52	0.0
53	0.1
54	0.611111111111
55	0.0
56	0.522222222222
57	0.454545454545
58	0.35
59	0.15
60	0.366666666667
61	0.366666666667
62	0.1
63	0.0
64	0.35
65	0.316666666667
66	0.333333333333
67	0.0
68	0.3
69	0.151515151515
70	0.318181818182
71	0.4
72	0.766666666667
73	0.4
74	0.65
75	0.454545454545
76	0.0
77	0.0
78	0.0
79	0.480909090909
80	0.333333333333
81	1.0
82	0.0
83	0.425
84	0.933333333333
85	0.547222222222
86	0.327272727273
87	0.275
88	0.5
89	1.0
90	0.55
91	0.588888888889
92	0.6875
93	0.525
94	0.2
95	0.2
96	0.5
97	0.55
98	0.0
99	1.0
100	0.1125
101	0.0
102	0.5
103	1.0
104	0.9
105	0.5
106	0.275
107	0.0
108	0.577272727273
109	0.466666666667
110	0.0
111	0.5
112	0.5
113	0.0
114	0.5
115	0.0
116	0.0
