Method	p
0	0.0
1	0.0454545454545
2	0.0
3	0.1
4	0.0
5	0.0
6	0.178787878788
7	-0.025
8	-0.00959595959596
9	0.05
10	0.0
11	0.5
12	0.125
13	0.0
14	0.4
15	0.0
16	0.0
17	0.05
18	0.0
19	0.375
20	0.0
21	0.0621212121212
22	0.0333333333333
23	-0.0561111111111
24	0.123232323232
25	0.0
26	0.0
27	-0.4
28	0.15
29	-0.0666666666667
30	0.0
31	0.0
32	0.0
33	1.0
34	0.5
35	0.0
36	0.0833333333333
37	0.0
38	0.0
39	0.5
40	0.0
41	0.0
42	0.5
43	-0.05
44	0.15
45	0.12619047619
46	0.08
47	0.0
48	0.5
49	0.185
50	0.0
51	0.333333333333
52	0.4
53	0.0
54	0.5
55	0.0
56	0.5
57	0.5
58	0.366666666667
59	0.0
60	0.35
61	0.125
62	0.4
63	0.0
64	0.0
65	0.3
66	-0.166666666667
67	0.05
68	0.45
69	0.0
70	0.00694444444444
71	0.5
72	0.159090909091
73	0.0
74	0.25
75	0.0
76	0.466666666667
77	0.134090909091
78	0.05
79	0.0
80	0.0
81	0.5
82	0.0
83	0.0
84	0.0
85	0.0
86	0.0
87	0.5
88	0.0
89	0.107272727273
90	0.0
91	0.0
92	0.25
93	0.136363636364
94	0.5
95	0.025
96	0.0931818181818
97	0.0
98	0.0
99	-0.1
100	0.0
101	-0.7
102	0.0
103	0.0
104	0.0
105	0.0
106	0.0
107	0.212121212121
108	0.0
109	0.0
110	0.0
111	0.475
112	0.466666666667
113	0.333333333333
114	0.0
115	0.00555555555556
116	0.0
117	0.125
118	0.0
119	0.125
120	0.0681818181818
121	0.142857142857
