Method	s
0	1.0
1	0.484848484848
2	0.333333333333
3	0.3
4	0.0
5	0.0
6	0.384848484848
7	0.233333333333
8	0.394444444444
9	0.45
10	0.5
11	0.9
12	0.291666666667
13	0.116666666667
14	0.8
15	0.0
16	0.0
17	0.2
18	0.4
19	0.375
20	0.0
21	0.333333333333
22	0.0666666666667
23	0.382777777778
24	0.340404040404
25	0.5
26	0.0
27	0.4
28	0.65
29	0.633333333333
30	0.0
31	0.0666666666667
32	0.0
33	0.3
34	0.9
35	0.0
36	0.191666666667
37	0.0
38	0.0
39	0.7
40	0.0
41	0.0
42	0.9
43	0.2
44	0.6
45	0.235714285714
46	0.18
47	0.0
48	0.7
49	0.271666666667
50	0.0
51	0.466666666667
52	0.25
53	0.125
54	0.9
55	0.0
56	0.766666666667
57	0.9
58	0.7
59	0.333333333333
60	0.55
61	0.316666666667
62	0.375
63	0.0
64	0.0555555555556
65	0.641666666667
66	0.3
67	0.5
68	0.95
69	0.0
70	0.0222222222222
71	0.5
72	0.388636363636
73	0.0
74	0.45
75	0.0
76	0.616666666667
77	0.338636363636
78	0.2
79	0.0
80	0.1
81	0.9
82	0.0
83	0.0
84	0.4
85	0.0666666666667
86	0.0
87	0.9
88	0.0
89	0.264242424242
90	0.0
91	0.0
92	0.25
93	0.454545454545
94	0.9
95	0.25
96	0.477272727273
97	0.0
98	0.0
99	0.133333333333
100	0.0
101	0.666666666667
102	0.0
103	0.0
104	0.0
105	0.0
106	0.0
107	0.351515151515
108	0.222222222222
109	0.105555555556
110	0.0
111	0.675
112	0.616666666667
113	0.6
114	0.0
115	0.227777777778
116	0.0
117	0.166666666667
118	0.0
119	0.125
120	0.227272727273
121	0.267857142857
